Duracion_min;Tr_2.0;Tr_5.0;Tr_10.0;Tr_20.0;Tr_50.0;Tr_100.0;Tr_200.0;Tr_500.0
960;3,2375526114460103;4,12098979901959;4,961344586655418;5,61664580604653;6,422120169901629;7,193574751326559;7,658426138538421;8,695879691768859
965;3,222715007484958;4,101829529852484;4,938609946116545;5,590908973753014;6,3929599937451815;7,161199738003306;7,623652085443573;8,65638377009699
970;3,2080215585772467;4,082856676327444;4,916096170592346;5,565422169632191;6,364081897478648;7,129136616955385;7,589214419338439;8,617269962819737
975;3,1934701318885765;4,064068453286309;4,893799992426216;5,54018169459163;6,335481719384647;7,097380798918871;7,555108177261785;8,578532631842586
980;3,179058636864817;4,045462130963289;4,8717182087358655;5,51518392286511;6,307155380073092;7,065927785235341;7,521328494430132;8,54016625061141
985;3,1647850241834377;4,027035033607637;4,8498476798069285;5,490425300194145;6,279098880442833;7,034773165612067;7,487870601806938;8,502165401350661
990;3,150647284736119;4,008784538147365;4,828185327534327;5,465902342063576;6,2513082997038;7,003912615948606;7,454729823743936;8,464524772383552
995;3,13664344864144;3,990708072892546;4,806728133909727;5,441611631989335;6,223779793457555;6,973341896227496;7,421901575692146;8,427239155531389
1000;3,122771584286632;3,9728031162768778;4,785473139553506;5,417549819856602;6,196509591834266;6,943056848466875;7,38938136198015;8,390303443589342
1005;3,1090297973973966;3,955067195636177;4,7644174422897185;5,393713620306643;6,169493997684168;6,913053394732887;7,357164773657353;8,353712627876053
1010;3,095416230134814;3,9374978860225336;4,743558195762573;5,370099811170626;6,142729384821635;6,8833275352098475;7,32524748639998;8,317461795854507
1015;3,0819290602184504;3,9200928090529246;4,722892608093033;5,3467052319488575;6,116212196320098;6,853875346326218;7,29362525847772;8,281546128821846
1020;3,0685665000747595;3,902849631791129;4,7024179405741675;5,323526782333907;6,089938942856108;6,824692978934507;7,26229392877896;8,245960899665713
